reviewText,sentiment,compound
"Delivery was great. Packaging was good. Got it in a good condition. It is best in price range but battery durability is little low. I liked it's bass. If you have higher budget than try another But if you have limited budget than you can surely try thiss...😁👍 
Big thanks to seller and rider.🥳",Positive,1
"Very Authentic product l,with good sound quality.comes with a case with type c charger❤️ Recommended to buy at this price..!!🔥",Positive,1
"Very nice product same as it was in photo 
Packaging chai ali vayena hai tara very good product aba heram charge chai katii ko tikxa",Positive,1
"is best deal at just 499 😎sound quality was good in ... base was perfect... quick connection..  
1. battery good👍
2.box packing average
3. charge cable too short
4.light weight 😅😂
5.according to price it is worth.. 
    fast delivery was done 


overall i want give 10/10 at just rs 499",Positive,1
Yesto reasonable rate ma dherai ramro Saman ho yo worth it xa haii regret hunna kinda just love it k ♥️🦋,Positive,1
Eekdam ramro xa Yeo price ma yatiko pauna derai ramro ho yei airpord maila 800 ma becahako Theo eeuta murdar ley,Neutral,0
Hijo order gareko aaja order deliver ni vaisakyo ekdum chadai aayo khusi lagyo ani airpod ni ramrai xa dubai chalxa battery xai kati tikxa thavayena maile jsto received gareko testai use gare 1 hr full volume ma nonstop charge xai ghateko jsto lagena hai overall excellent product in this price range thankyou,Neutral,0
"samman dammi cha 
mailae black mah laeko dammi color zha 
box ni dammi xha charge ni tikcha
halka fulka gaming ni huncha",Neutral,0
kaam price vako le sound and looks ramro cha aba kati samma tikcha herna baki cha...✊✊ dhanyabad sabailai...,Neutral,0
I received the product rw product Pani ramro xa vaneko socheko  vanda ramro za aaru product vanda ne ramro xa . vanda Pani dharai dharai ramro za . and do products kinda hunxa good product. love it.,Positive,1
The airpod is great and the delivery was so quick yesterday i ordered it and Tommorow it arrived,Positive,1
This AirPods battery backup giving me 3/4 hour sound quality is best and bass.delivery was great,Positive,1
price rance ekdam daami sound quality xa 🤝sab thik xa but side ma latkaune deko xain photo jasto,Neutral,0
purai scratch nai scratch cha second hand chalako jasto...exchange gardinu milcha vne gardinu,Positive,1
"it is good, Worthing according to price, sound quality is also good, 2/3 hour majale chalxa.",Positive,1
Yeo price ma theki ho but aailk sound aareki xa tara kei xaina kam chalxa ramerii lagyo,Neutral,0
sound  n bass is good according to price but let's see about battery backup.,Positive,1
"This Airpods are good quality i like this airpod
And best airbuds",Positive,1
"Very Very so much product 
Delivery Dai ko lagi 5 Star ⭐⭐⭐⭐⭐",Neutral,0
black magako white po dinxa ta black ko box ma halera👎🏻,Neutral,0
Looks good and the delivery is on time thank you Daraz,Positive,1
khasai ramro chai hoina sound pani ramro xaina😣😣,Neutral,0
comfy to wear and actually comes in full charge,Neutral,0
all good price ma ramro saman ho . i like it ❤️,Positive,1
it's too much good just love it 😲😲,Positive,1
Tws not too bad as compared to price,Negative,-1
One side airpods not working,Neutral,0
right side bajdaina!!!,Neutral,0
GOOD RAMRO PRODUCT XA,Positive,1
it's good,Positive,1
"Giving After using it 1week .. 
Positive :- Sound quality , Build quality rmro xa ..
Negative :- Battry backup 1hrs 30 mint only on calls , for music video 2hrs 30mint.
    So afno use ko anusar bujhera linu hola ...",Neutral,0
"product average nai xa , dherai ramro pani xaina ra dekhai na ramro pani xaina . maile chai 3 star dinxu . budget ko lai thikai ho. weight bhaney na ko bara bar xa .  package ni thikai thiyo . yedi koi lai kinna man xa bhaney , mai chai aali paisa thapera ramro kinnw suggest garxu . battery life chai ali kam lagyo . halka regret lageko xw bhanum na 😅.",Neutral,0
"it got delivered but I got different charger,the charger doesn't even fit in the buds, any help or something?",Positive,1
Good for the PRICE. I would say to expect as little as you can . Still the product is fine and working normally (for the price),Positive,1
"Good quality, very fast delivery, your staff, delivery person is so humble and cooperative. Thanks Draz.",Positive,1
Yeti ko price ma na sochkina kinda hunxa haii . It's really very good both sound quality and its design.love it ❤️,Positive,1
"it good build quality in black is good for this price.
 battery backup is good.
sound quality is moderate thats all.",Positive,1
worst experience!!! earpod was okay but there was scratches like it was a used item. left side airpod charge doesn't lasts longer than 5 mins...and makes weird noises . At least we should be able to return or exchange but seller doesn't even reply. Tape wrapping around airpods just to hide scratches . ...don't buy this!!! ❌,Negative,-1
"the  seller doesn't have that business sense , the product wasn't seal packed , and looked like already used and then sending to the customer,",Positive,1
"I am amazed by how good the product is in this price range. I checked the reviews stating how good it is but i was hesitating to buy but bought it anyway and i don’t regret buying it. It has good sound and bass quality in this cheap price and also the delivery was super fast. So, you can.l consider buying it.",Positive,1
Product came  in good condition but the charger is quite short and a small part came off right after opening,Positive,1
good ramrai xa under 500 ma Tara charge chai photo khicda iPhone ko dherai tikxa baru yesko Vanda average 1:30 min ho ekfera full Garda 😂,Positive,1
price wise it's okay it's little bit light weight and only comes with airpod and charging cable no extra ear rubber,Positive,1
